date,jpa-files,jdbc-files,hibernate-files,jpa-projects,jdbc-projects,hibernate-projects
1983-07,0,1,0,0,1,0
1983-08,0,1,0,0,1,0
1983-09,0,1,0,0,1,0
1983-10,0,1,0,0,1,0
1983-11,0,1,0,0,1,0
1983-12,0,1,0,0,1,0
1984-01,0,1,0,0,1,0
1984-02,0,1,0,0,1,0
1984-03,0,1,0,0,1,0
1984-04,0,1,0,0,1,0
1984-05,0,1,0,0,1,0
1984-06,0,1,0,0,1,0
1984-07,0,1,0,0,1,0
1984-08,0,1,0,0,1,0
1984-09,0,1,0,0,1,0
1984-10,0,1,0,0,1,0
1984-11,0,1,0,0,1,0
1984-12,0,1,0,0,1,0
1985-01,0,1,0,0,1,0
1985-02,0,1,0,0,1,0
1985-03,0,1,0,0,1,0
1985-04,0,1,0,0,1,0
1985-05,0,1,0,0,1,0
1985-06,0,1,0,0,1,0
1985-07,0,1,0,0,1,0
1985-08,0,1,0,0,1,0
1985-09,0,1,0,0,1,0
1985-10,0,1,0,0,1,0
1985-11,0,1,0,0,1,0
1985-12,0,1,0,0,1,0
1986-01,0,1,0,0,1,0
1986-02,0,1,0,0,1,0
1986-03,0,1,0,0,1,0
1986-04,0,1,0,0,1,0
1986-05,0,1,0,0,1,0
1986-06,0,1,0,0,1,0
1986-07,0,1,0,0,1,0
1986-08,0,1,0,0,1,0
1986-09,0,1,0,0,1,0
1986-10,0,1,0,0,1,0
1986-11,0,1,0,0,1,0
1986-12,0,1,0,0,1,0
1987-01,0,1,0,0,1,0
1987-02,0,1,0,0,1,0
1987-03,0,1,0,0,1,0
1987-04,0,1,0,0,1,0
1987-05,0,1,0,0,1,0
1987-06,0,1,0,0,1,0
1987-07,0,1,0,0,1,0
1987-08,0,1,0,0,1,0
1987-09,0,1,0,0,1,0
1987-10,0,1,0,0,1,0
1987-11,0,1,0,0,1,0
1987-12,0,1,0,0,1,0
1988-01,0,1,0,0,1,0
1988-02,0,1,0,0,1,0
1988-03,0,1,0,0,1,0
1988-04,0,1,0,0,1,0
1988-05,0,1,0,0,1,0
1988-06,0,1,0,0,1,0
1988-07,0,1,0,0,1,0
1988-08,0,1,0,0,1,0
1988-09,0,1,0,0,1,0
1988-10,0,1,0,0,1,0
1988-11,0,1,0,0,1,0
1988-12,0,1,0,0,1,0
1989-01,0,1,0,0,1,0
1989-02,0,1,0,0,1,0
1989-03,0,1,0,0,1,0
1989-04,0,1,0,0,1,0
1989-05,0,1,0,0,1,0
1989-06,0,1,0,0,1,0
1989-07,0,1,0,0,1,0
1989-08,0,1,0,0,1,0
1989-09,0,1,0,0,1,0
1989-10,0,1,0,0,1,0
1989-11,0,1,0,0,1,0
1989-12,0,1,0,0,1,0
1990-01,0,1,0,0,1,0
1990-02,0,1,0,0,1,0
1990-03,0,1,0,0,1,0
1990-04,0,1,0,0,1,0
1990-05,0,1,0,0,1,0
1990-06,0,1,0,0,1,0
1990-07,0,1,0,0,1,0
1990-08,0,1,0,0,1,0
1990-09,0,1,0,0,1,0
1990-10,0,1,0,0,1,0
1990-11,0,1,0,0,1,0
1990-12,0,1,0,0,1,0
1991-01,0,1,0,0,1,0
1991-02,0,1,0,0,1,0
1991-03,0,1,0,0,1,0
1991-04,0,1,0,0,1,0
1991-05,0,1,0,0,1,0
1991-06,0,1,0,0,1,0
